US WPS Index rank,State,White,Black,Native American,Asian,Hispanic,,,,,,,,,,,,,,,,,,,
13,Illinois,65.6,17.2,0.0,3.1,12.5,,,,,,,,,,,,,,,,,,,
14,Colorado,70.5,11.4,0.0,0.0,18.2,,,,,,,,,,,,,,,,,,,
15,California,42.1,10.5,0.0,2.6,44.7,,,,,,,,,,,,,,,,,,,
16,Wisconsin,82.9,5.7,0.0,0.0,11.4,,,,,,,,,,,,,,,,,,,
17,Pennsylvania,85.3,13.2,0.0,1.5,0.0,,,,,,,,,,,,,,,,,,,
18,Oregon,86.8,5.3,2.6,0.0,5.3,,,,,,,,,,,,,,,,,,,
19,Nebraska,100.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
20,North Dakota,100.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
21,Michigan,70.4,22.2,0.0,3.7,1.9,,,,,,,,,,,,,,,,,,,
22,Delaware,60.0,33.3,0.0,0.0,6.7,,,,,,,,,,,,,,,,,,,
23,Iowa,95.5,4.5,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
24,Washington,75.0,3.3,1.7,11.7,5.0,,,,,,,,,,,,,,,,,,,
25,Ohio,69.4,25.0,0.0,2.8,0.0,,,,,,,,,,,,,,,,,,,
26,Kansas,89.4,8.5,2.1,0.0,4.9,,,,,,,,,,,,,,,,,,,
26,Virginia,63.4,24.4,0.0,4.9,0.0,,,,,,,,,,,,,,,,,,,
28,Alaska,86.4,9.1,4.5,0.0,0.0,,,,,,,,,,,,,,,,,,,
29,South Dakota,92.3,0.0,7.7,0.0,0.0,,,,,,,,,,,,,,,,,,,
30,Florida,53.2,27.7,0.0,0.0,17.0,,,,,,,,,,,,,,,,,,,
31,Arizona,68.6,2.9,2.9,0.0,17.1,,,,,,,,,,,,,,,,,,,
32,Montana,89.1,0.0,10.9,0.0,0.0,,,,,,,,,,,,,,,,,,,
32,North Carolina,68.2,31.8,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
34,Indiana,81.6,15.8,0.0,0.0,2.6,,,,,,,,,,,,,,,,,,,
35,Nevada,57.6,15.2,3.0,0.0,15.2,,,,,,,,,,,,,,,,,,,
36,Utah,81.5,3.7,0.0,7.4,7.4,,,,,,,,,,,,,,,,,,,
37,Georgia,45.8,50.0,0.0,1.4,1.4,,,,,,,,,,,,,,,,,,,
38,Missouri,83.3,16.7,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
39,Idaho,93.9,3.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,
40,New Mexico,61.0,4.9,7.3,0.0,26.8,,,,,,,,,,,,,,,,,,,
41,Texas,43.2,22.7,0.0,2.3,31.8,,,,,,,,,,,,,,,,,,,
42,Oklahoma,81.3,3.1,3.1,0.0,0.0,,,,,,,,,,,,,,,,,,,
43,Wyoming,78.6,7.1,14.3,0.0,0.0,,,,,,,,,,,,,,,,,,,
44,South Carolina,60.7,39.3,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
45,Tennessee,65.0,30.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,
46,West Virginia,94.4,5.6,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
47,Kentucky,93.9,3.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,
48,Alabama,31.8,68.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
49,Arkansas,76.5,20.6,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
50,Mississippi,50.0,46.4,3.6,0.0,0.0,,,,,,,,,,,,,,,,,,,
51,Louisiana,69.2,30.8,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
,National average,75.0,14.0,1.0,2.0,6.0,,,,,,,,,,,,,,,,,,,
"College degree, 2015-2018",,,,,,,,,,,,,,,,,,,,,,,,,
1,Massachusetts,44.9,26.8,..,57.6,20.5,,,,,,,,,,,,,,,,,,,
2,Connecticut,41.6,22.3,..,60.5,17.6,,,,,,,,,,,,,,,,,,,
3,District of Columbia,90.1,26.5,..,85.7,46.7,,,,,,,,,,,,,,,,,,,
4,Vermont,39.9,..,..,..,..,,,,,,,,,,,,,,,,,,,
5,Rhode Island,35.5,..,..,..,15.0,,,,,,,,,,,,,,,,,,,
6,New Hampshire,37.2,..,..,..,26.9,,,,,,,,,,,,,,,,,,,
7,Maryland,43.8,31.6,..,60.3,24.9,,,,,,,,,,,,,,,,,,,
8,New York,40.7,26.3,..,45.6,20.4,,,,,,,,,,,,,,,,,,,
9,Maine,33.2,..,..,..,..,,,,,,,,,,,,,,,,,,,
10,Hawaii,45.4,..,..,31.7,23.7,,,,,,,,,,,,,,,,,,,
11,New Jersey,39.7,26.0,,66.3,21.0,,,,,,,,,,,,,,,,,,,
12,Minnesota,37.5,18.1,..,43.0,17.6,,,,,,,,,,,,,,,,,,,
13,Illinois,35.9,24.1,..,61.3,16.0,,,,,,,,,,,,,,,,,,,
14,Colorado,42.9,28.4,..,47.8,17.1,,,,,,,,,,,,,,,,,,,
15,California,33.9,27.0,14.9,50.0,13.8,,,,,,,,,,,,,,,,,,,
16,Wisconsin,32.0,17.5,..,47.5,16.6,,,,,,,,,,,,,,,,,,,
17,Pennsylvania,31.8,20.9,..,51.6,17.8,,,,,,,,,,,,,,,,,,,
18,Oregon,33.9,..,..,47.3,16.7,,,,,,,,,,,,,,,,,,,
19,Nebraska,33.3,..,..,..,11.7,,,,,,,,,,,,,,,,,,,
20,North Dakota,33.3,..,..,..,..,,,,,,,,,,,,,,,,,,,
21,Michigan,29.6,20.4,..,58.1,19.4,,,,,,,,,,,,,,,,,,,
22,Delaware,33.4,24.9,..,58.8,18.8,,,,,,,,,,,,,,,,,,,
23,Iowa,29.5,..,..,..,14.2,,,,,,,,,,,,,,,,,,,
24,Washington,35.5,25.0,..,48.0,17.3,,,,,,,,,,,,,,,,,,,
25,Ohio,28.8,18.0,..,54.5,21.1,,,,,,,,,,,,,,,,,,,
26,Kansas,34.6,..,..,45.7,26.4,,,,,,,,,,,,,,,,,,,
26,Virginia,40.5,26.0,..,56.5,13.6,,,,,,,,,,,,,,,,,,,
28,Alaska,38.7,..,..,..,..,,,,,,,,,,,,,,,,,,,
29,South Dakota,31.5,..,..,..,..,,,,,,,,,,,,,,,,,,,
30,Florida,30.2,21.4,..,47.0,25.3,,,,,,,,,,,,,,,,,,,
31,Arizona,29.9,24.3,11.9,50.1,13.7,,,,,,,,,,,,,,,,,,,
32,Montana,32.8,..,..,..,16.9,,,,,,,,,,,,,,,,,,,
32,North Carolina,34.0,24.1,17.2,53.2,..,,,,,,,,,,,,,,,,,,,
34,Indiana,27.0,20.0,..,51.5,14.8,,,,,,,,,,,,,,,,,,,
35,Nevada,25.4,19.2,..,36.9,10.8,,,,,,,,,,,,,,,,,,,
36,Utah,32.1,..,..,41.2,14.2,,,,,,,,,,,,,,,,,,,
37,Georgia,33.3,26.8,..,51.5,19.1,,,,,,,,,,,,,,,,,,,
38,Missouri,30.3,20.2,..,55.9,22.2,,,,,,,,,,,,,,,,,,,
39,Idaho,26.6,..,..,..,10.1,,,,,,,,,,,,,,,,,,,
40,New Mexico,31.0,..,12.4,..,16.9,,,,,,,,,,,,,,,,,,,
41,Texas,29.5,26.1,20.7,54.5,15.5,,,,,,,,,,,,,,,,,,,
42,Oklahoma,27.6,21.3,18.6,40.2,12.6,,,,,,,,,,,,,,,,,,,
43,Wyoming,28.8,..,..,..,16.3,,,,,,,,,,,,,,,,,,,
44,South Carolina,31.7,18.2,..,43.6,18.6,,,,,,,,,,,,,,,,,,,
45,Tennessee,27.7,22.3,..,49.8,16.6,,,,,,,,,,,,,,,,,,,
46,West Virginia,20.9,..,..,..,..,,,,,,,,,,,,,,,,,,,
47,Kentucky,25.0,18.8,..,46.3,23.3,,,,,,,,,,,,,,,,,,,
48,Alabama,27.1,20.3,..,42.9,17.3,,,,,,,,,,,,,,,,,,,
49,Arkansas,24.4,18.6,..,..,12.0,,,,,,,,,,,,,,,,,,,
50,Mississippi,26.5,18.9,..,..,19.7,,,,,,,,,,,,,,,,,,,
51,Louisiana,28.4,18.5,..,38.3,19.1,,,,,,,,,,,,,,,,,,,
,National average,38.0,25.0,21.0,52.0,17.0,,,,,,,,,,,,,,,,,,,
"Maternal mortaility, 2013-2017",,,,,,,,,,,,,,,,,,,,,,,,,
1,Massachusetts,15.6,..,..,..,..,,,,,,,,,,,,,,,,,,,
2,Connecticut,14.8,48.0,..,..,..,,,,,,,,,,,,,,,,,,,
3,District of Columbia,..,71.0,..,..,..,,,,,,,,,,,,,,,,,,,
4,Vermont,..,..,..,..,..,,,,,,,,,,,,,,,,,,,
5,Rhode Island,..,..,..,..,..,,,,,,,,,,,,,,,,,,,
6,New Hampshire,25.8,..,..,..,..,,,,,,,,,,,,,,,,,,,
7,Maryland,15.0,45.1,..,..,17.4,,,,,,,,,,,,,,,,,,,
8,New York,18.4,65.6,..,13.9,18.3,,,,,,,,,,,,,,,,,,,
9,Maine,24.2,..,..,..,..,,,,,,,,,,,,,,,,,,,
10,Hawaii,..,..,..,21.7,..,,,,,,,,,,,,,,,,,,,
11,New Jersey,34.7,131.8,..,23.8,31.9,,,,,,,,,,,,,,,,,,,
12,Minnesota,17.0,24.9,..,..,..,,,,,,,,,,,,,,,,,,,
13,Illinois,16.6,47.0,..,..,14.5,,,,,,,,,,,,,,,,,,,
14,Colorado,20.5,70.6,..,..,17.7,,,,,,,,,,,,,,,,,,,
15,California,17.0,63.9,..,14.1,14.6,,,,,,,,,,,,,,,,,,,
16,Wisconsin,19.7,..,..,..,..,,,,,,,,,,,,,,,,,,,
17,Pennsylvania,22.2,51.8,..,..,18.7,,,,,,,,,,,,,,,,,,,
18,Oregon,18.3,..,..,..,..,,,,,,,,,,,,,,,,,,,
19,Nebraska,22.1,..,..,..,..,,,,,,,,,,,,,,,,,,,
20,North Dakota,..,..,..,..,..,,,,,,,,,,,,,,,,,,,
21,Michigan,23.6,50.6,..,..,..,,,,,,,,,,,,,,,,,,,
22,Delaware,..,..,..,..,..,,,,,,,,,,,,,,,,,,,
23,Iowa,25.2,..,..,..,..,,,,,,,,,,,,,,,,,,,
24,Washington,19.0,..,..,..,21.3,,,,,,,,,,,,,,,,,,,
25,Ohio,20.3,47.0,..,..,..,,,,,,,,,,,,,,,,,,,
26,Kansas,22.4,69.8,..,..,..,,,,,,,,,,,,,,,,,,,
26,Virginia,27.7,52.6,..,..,..,,,,,,,,,,,,,,,,,,,
28,Alaska,..,..,..,..,..,,,,,,,,,,,,,,,,,,,
29,South Dakota,28.8,..,..,..,..,,,,,,,,,,,,,,,,,,,
30,Florida,25.6,45.5,..,33.1,18.2,,,,,,,,,,,,,,,,,,,
31,Arizona,28.7,43.3,53.7,..,20.8,,,,,,,,,,,,,,,,,,,
32,Montana,23.9,..,167.2,..,..,,,,,,,,,,,,,,,,,,,
32,North Carolina,19.8,56.8,..,..,13.3,,,,,,,,,,,,,,,,,,,
34,Indiana,49.8,71.5,..,..,..,,,,,,,,,,,,,,,,,,,
35,Nevada,13.6,..,..,..,..,,,,,,,,,,,,,,,,,,,
36,Utah,23.9,..,..,..,28.1,,,,,,,,,,,,,,,,,,,
37,Georgia,59.7,95.6,..,50.0,26.1,,,,,,,,,,,,,,,,,,,
38,Missouri,32.9,91.9,..,..,..,,,,,,,,,,,,,,,,,,,
39,Idaho,36.9,..,..,..,..,,,,,,,,,,,,,,,,,,,
40,New Mexico,33.7,..,..,..,28.5,,,,,,,,,,,,,,,,,,,
41,Texas,40.6,93.1,..,16.5,26.6,,,,,,,,,,,,,,,,,,,
42,Oklahoma,31.1,76.5,39.1,..,..,,,,,,,,,,,,,,,,,,,
43,Wyoming,..,..,..,..,..,,,,,,,,,,,,,,,,,,,
44,South Carolina,25.7,77.3,..,..,..,,,,,,,,,,,,,,,,,,,
45,Tennessee,31.0,55.0,..,..,30.2,,,,,,,,,,,,,,,,,,,
46,West Virginia,18.6,..,..,..,..,,,,,,,,,,,,,,,,,,,
47,Kentucky,31.7,49.1,..,..,..,,,,,,,,,,,,,,,,,,,
48,Alabama,23.7,61.7,..,..,..,,,,,,,,,,,,,,,,,,,
49,Arkansas,41.8,76.3,..,..,..,,,,,,,,,,,,,,,,,,,
50,Mississippi,27.7,30.5,..,..,..,,,,,,,,,,,,,,,,,,,
51,Louisiana,47.9,112.2,..,..,44.5,,,,,,,,,,,,,,,,,,,
,National average,26.1,63.8,43.6,17.0,19.6,,,,,,,,,,,,,,,,,,,
"Gun deaths, 2018",,,,,,,,,,,,,,,,,,,,,,,,,
1,Massachusetts,6.7,4.0,..,..,..,,,,,,,,,,,,,,,,,,,
2,Connecticut,7.9,5.0,..,..,3.7,,,,,,,,,,,,,,,,,,,
3,District of Columbia,..,9.1,..,..,..,,,,,,,,,,,,,,,,,,,
4,Vermont,7.1,..,..,..,..,,,,,,,,,,,,,,,,,,,
5,Rhode Island,5.5,..,..,..,..,,,,,,,,,,,,,,,,,,,
6,New Hampshire,9.0,..,..,..,..,,,,,,,,,,,,,,,,,,,
7,Maryland,9.6,7.3,..,4.5,..,,,,,,,,,,,,,,,,,,,
8,New York,5.8,5.1,..,3.2,3.0,,,,,,,,,,,,,,,,,,,
9,Maine,9.5,..,..,..,..,,,,,,,,,,,,,,,,,,,
10,Hawaii,..,..,..,5.6,..,,,,,,,,,,,,,,,,,,,
11,New Jersey,6.3,6.4,..,2.8,2.7,,,,,,,,,,,,,,,,,,,
12,Minnesota,6.0,..,..,..,..,,,,,,,,,,,,,,,,,,,
13,Illinois,7.7,11.6,..,3.5,4.8,,,,,,,,,,,,,,,,,,,
14,Colorado,14.0,..,..,..,9.7,,,,,,,,,,,,,,,,,,,
15,California,..,9.4,..,4.9,4.0,,,,,,,,,,,,,,,,,,,
16,Wisconsin,7.0,8.3,..,..,..,,,,,,,,,,,,,,,,,,,
17,Pennsylvania,8.9,11.4,..,6.3,6.0,,,,,,,,,,,,,,,,,,,
18,Oregon,12.8,..,..,..,..,,,,,,,,,,,,,,,,,,,
19,Nebraska,5.6,..,..,..,..,,,,,,,,,,,,,,,,,,,
20,North Dakota,8.8,..,..,..,..,,,,,,,,,,,,,,,,,,,
21,Michigan,8.3,12.6,..,6.1,6.3,,,,,,,,,,,,,,,,,,,
22,Delaware,4.8,8.6,..,..,..,,,,,,,,,,,,,,,,,,,
23,Iowa,7.4,..,..,..,..,,,,,,,,,,,,,,,,,,,
24,Washington,11.3,15.2,..,6.4,6.4,,,,,,,,,,,,,,,,,,,
25,Ohio,9.3,12.1,..,..,..,,,,,,,,,,,,,,,,,,,
26,Kansas,11.5,..,..,..,..,,,,,,,,,,,,,,,,,,,
26,Virginia,10.5,7.1,..,5.5,..,,,,,,,,,,,,,,,,,,,
28,Alaska,10.9,..,25.1,..,..,,,,,,,,,,,,,,,,,,,
29,South Dakota,7.5,..,40.7,..,..,,,,,,,,,,,,,,,,,,,
30,Florida,13.3,7.1,..,5.0,5.0,,,,,,,,,,,,,,,,,,,
31,Arizona,12.8,15.2,11.2,..,4.4,,,,,,,,,,,,,,,,,,,
32,Montana,13.0,..,..,..,..,,,,,,,,,,,,,,,,,,,
32,North Carolina,10.5,7.5,..,..,2.1,,,,,,,,,,,,,,,,,,,
34,Indiana,10.4,15.3,..,..,..,,,,,,,,,,,,,,,,,,,
35,Nevada,..,16.2,..,6.3,6.9,,,,,,,,,,,,,,,,,,,
36,Utah,11.2,..,..,..,6.4,,,,,,,,,,,,,,,,,,,
37,Georgia,11.8,8.1,..,5.3,..,,,,,,,,,,,,,,,,,,,
38,Missouri,12.8,20.5,..,..,..,,,,,,,,,,,,,,,,,,,
39,Idaho,13.4,..,..,..,..,,,,,,,,,,,,,,,,,,,
40,New Mexico,23.0,..,16.2,..,10.8,,,,,,,,,,,,,,,,,,,
41,Texas,11.5,8.6,..,2.7,5.0,,,,,,,,,,,,,,,,,,,
42,Oklahoma,12.3,7.8,9.4,..,4.9,,,,,,,,,,,,,,,,,,,
43,Wyoming,16.2,..,..,..,..,,,,,,,,,,,,,,,,,,,
44,South Carolina,11.2,8.8,..,..,..,,,,,,,,,,,,,,,,,,,
45,Tennessee,11.7,11.2,..,..,6.1,,,,,,,,,,,,,,,,,,,
46,West Virginia,11.7,..,..,..,..,,,,,,,,,,,,,,,,,,,
47,Kentucky,9.1,7.1,..,..,..,,,,,,,,,,,,,,,,,,,
48,Alabama,12.9,9.1,..,..,..,,,,,,,,,,,,,,,,,,,
49,Arkansas,13.0,11.1,..,..,..,,,,,,,,,,,,,,,,,,,
50,Mississippi,11.2,10.2,..,..,..,,,,,,,,,,,,,,,,,,,
51,Louisiana,11.6,10.4,..,..,..,,,,,,,,,,,,,,,,,,,
,National average,10.1,9.2,14.9,5.1,4.7,,,,,,,,,,,,,,,,,,,
"Healthcare affordability, 2018",,,,,,,,,,,,,,,,,,,,,,,,,
1,Massachusetts,92.0,85.0,..,..,86.0,,,,,,,,,,,,,,,,,,,
2,Connecticut,91.0,87.0,..,..,83.0,,,,,,,,,,,,,,,,,,,
3,District of Columbia,93.0,92.0,..,..,84.0,,,,,,,,,,,,,,,,,,,
4,Vermont,92.0,..,..,..,..,,,,,,,,,,,,,,,,,,,
5,Rhode Island,92.0,..,..,..,80.0,,,,,,,,,,,,,,,,,,,
6,New Hampshire,90.0,..,..,..,..,,,,,,,,,,,,,,,,,,,
7,Maryland,91.0,89.0,..,91.0,71.0,,,,,,,,,,,,,,,,,,,
8,New York,91.0,88.0,..,84.0,84.0,,,,,,,,,,,,,,,,,,,
9,Maine,88.0,..,..,..,..,,,,,,,,,,,,,,,,,,,
10,Hawaii,92.0,..,..,93.0,89.0,,,,,,,,,,,,,,,,,,,
11,New Jersey,91.0,87.0,..,..,74.0,,,,,,,,,,,,,,,,,,,
12,Minnesota,91.0,82.0,84.0,84.0,74.0,,,,,,,,,,,,,,,,,,,
13,Illinois,91.0,83.0,..,..,78.0,,,,,,,,,,,,,,,,,,,
14,Colorado,89.0,82.0,..,..,80.0,,,,,,,,,,,,,,,,,,,
15,California,90.0,87.0,..,91.0,81.0,,,,,,,,,,,,,,,,,,,
16,Wisconsin,91.0,83.0,..,..,72.0,,,,,,,,,,,,,,,,,,,
17,Pennsylvania,91.0,89.0,..,..,82.0,,,,,,,,,,,,,,,,,,,
18,Oregon,89.0,..,..,..,76.0,,,,,,,,,,,,,,,,,,,
19,Nebraska,88.0,78.0,..,..,76.0,,,,,,,,,,,,,,,,,,,
20,North Dakota,91.0,..,..,..,..,,,,,,,,,,,,,,,,,,,
21,Michigan,88.0,84.0,81.0,..,82.0,,,,,,,,,,,,,,,,,,,
22,Delaware,90.0,90.0,..,..,79.0,,,,,,,,,,,,,,,,,,,
23,Iowa,93.0,72.0,..,..,86.0,,,,,,,,,,,,,,,,,,,
24,Washington,89.0,..,..,91.0,79.0,,,,,,,,,,,,,,,,,,,
25,Ohio,89.0,91.0,..,..,74.0,,,,,,,,,,,,,,,,,,,
26,Kansas,87.0,78.0,..,..,83.0,,,,,,,,,,,,,,,,,,,
26,Virginia,88.0,83.0,..,..,71.0,,,,,,,,,,,,,,,,,,,
28,Alaska,85.0,..,87.0,..,..,,,,,,,,,,,,,,,,,,,
29,South Dakota,90.0,..,78.0,..,..,,,,,,,,,,,,,,,,,,,
30,Florida,85.0,78.0,..,..,78.0,,,,,,,,,,,,,,,,,,,
31,Arizona,90.0,..,89.0,..,79.0,,,,,,,,,,,,,,,,,,,
32,Montana,90.0,..,87.0,..,..,,,,,,,,,,,,,,,,,,,
32,North Carolina,86.0,78.0,..,..,66.0,,,,,,,,,,,,,,,,,,,
34,Indiana,88.0,80.0,..,..,81.0,,,,,,,,,,,,,,,,,,,
35,Nevada,86.0,..,..,..,75.0,,,,,,,,,,,,,,,,,,,
36,Utah,87.0,..,58.0,..,77.0,,,,,,,,,,,,,,,,,,,
37,Georgia,82.0,76.0,..,..,69.0,,,,,,,,,,,,,,,,,,,
38,Missouri,88.0,84.0,..,..,65.0,,,,,,,,,,,,,,,,,,,
39,Idaho,84.0,..,..,..,78.0,,,,,,,,,,,,,,,,,,,
40,New Mexico,89.0,..,86.0,..,85.0,,,,,,,,,,,,,,,,,,,
41,Texas,84.0,83.0,..,..,74.0,,,,,,,,,,,,,,,,,,,
42,Oklahoma,86.0,82.0,89.0,..,68.0,,,,,,,,,,,,,,,,,,,
43,Wyoming,85.0,..,..,..,80.0,,,,,,,,,,,,,,,,,,,
44,South Carolina,85.0,79.0,76.0,..,66.0,,,,,,,,,,,,,,,,,,,
45,Tennessee,85.0,77.0,..,..,72.0,,,,,,,,,,,,,,,,,,,
46,West Virginia,87.0,..,..,..,..,,,,,,,,,,,,,,,,,,,
47,Kentucky,88.0,86.0,..,..,..,,,,,,,,,,,,,,,,,,,
48,Alabama,84.0,78.0,..,..,..,,,,,,,,,,,,,,,,,,,
49,Arkansas,84.0,86.0,..,..,68.0,,,,,,,,,,,,,,,,,,,
50,Mississippi,83.0,77.0,..,..,..,,,,,,,,,,,,,,,,,,,
51,Louisiana,84.0,85.0,78.0,..,79.0,,,,,,,,,,,,,,,,,,,
,National average,88.0,83.0,82.0,90.0,78.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Data sources,,,,"Note: Full references in Table 1 in ""Notes and data sources"". ",,,,,,,,,,,,,,,,,,,,,
